Method A,Method B,raw_p,adj_p,sig
Best-Single,Coopetitive-CV,0.9994117105493372,1.0,ns
Best-Single,Equal,2.829103195193629e-31,1.9803722366355402e-30,***
Best-Single,Perf-Weighted,1.3187636417198315e-19,7.912581850318989e-19,***
Best-Single,Shapley,2.5629201342799095e-09,1.0251680537119638e-08,***
Best-Single,Stacking,0.2750134566949993,0.825040370084998,ns
Coopetitive-CV,Equal,2.5599513945196783e-73,3.58393195232755e-72,***
Coopetitive-CV,Perf-Weighted,8.437441469582592e-60,9.281185616540851e-59,***
Coopetitive-CV,Shapley,5.767960195854505e-41,5.191164176269054e-40,***
Coopetitive-CV,Stacking,0.5181539600428589,1.0,ns
Equal,Perf-Weighted,7.442922167413479e-73,9.675798817637523e-72,***
Equal,Shapley,1.5686239046690434e-73,2.352935857003565e-72,***
Equal,Stacking,5.927299817769214e-51,5.927299817769215e-50,***
Perf-Weighted,Shapley,3.1939373028839636e-66,3.8327247634607566e-65,***
Perf-Weighted,Stacking,1.7848260901440584e-36,1.4278608721152467e-35,***
Shapley,Stacking,1.8378832003347258e-18,9.18941600167363e-18,***
